"data.date","data.datatype","data.station","data.value","data.fl_m","data.fl_q","data.fl_so","data.fl_t"
"1995-05-01T00:00:00","PRCP","GHCND:USC00130203",0,"T","","0","0700"
"1995-05-01T00:00:00","PRCP","GHCND:USC00130213",0,"","","0","0700"
"1995-05-01T00:00:00","PRCP","GHCND:USC00130807",5,"","","0","0800"
"1995-05-01T00:00:00","PRCP","GHCND:USC00130923",0,"P","","0","0700"
"1995-05-01T00:00:00","PRCP","GHCND:USC00131233",0,"T","","0","0700"
"1995-05-01T00:00:00","PRCP","GHCND:USC00131394",0,"","","0",""
"1995-05-01T00:00:00","PRCP","GHCND:USC00131402",0,"","","0","0700"
"1995-05-01T00:00:00","PRCP","GHCND:USC00131533",13,"","","0","0800"
"1995-05-01T00:00:00","PRCP","GHCND:USC00131541",0,"T","","0",""
"1995-05-01T00:00:00","PRCP","GHCND:USC00131954",0,"","","0","0800"
"1995-05-01T00:00:00","PRCP","GHCND:USC00132110",0,"P","","0","1700"
"1995-05-01T00:00:00","PRCP","GHCND:USC00132171",8,"","","0","0700"
"1995-05-01T00:00:00","PRCP","GHCND:USC00132235",0,"P","","0","0800"
"1995-05-01T00:00:00","PRCP","GHCND:USC00132689",0,"","","0",""
"1995-05-01T00:00:00","PRCP","GHCND:USC00132977",0,"P","","0","0700"
"1995-05-01T00:00:00","PRCP","GHCND:USC00133007",0,"","","0","2400"
"1995-05-01T00:00:00","PRCP","GHCND:USC00133438",0,"P","","0","0800"
"1995-05-01T00:00:00","PRCP","GHCND:USC00133473",0,"T","","0","0700"
"1995-05-01T00:00:00","PRCP","GHCND:USC00133487",0,"","","0","0700"
"1995-05-01T00:00:00","PRCP","GHCND:USC00133584",0,"","","0","0700"
"1995-05-01T00:00:00","PRCP","GHCND:USC00134101",0,"","","0","1700"
"1995-05-01T00:00:00","PRCP","GHCND:USC00134142",0,"","","0","0700"
"1995-05-01T00:00:00","PRCP","GHCND:USC00134381",0,"P","","0","0600"
"1995-05-01T00:00:00","PRCP","GHCND:USC00134502",0,"P","","0","0500"
"1995-05-01T00:00:00","PRCP","GHCND:USC00135650",0,"","","0","0700"
"1995-05-01T00:00:00","PRCP","GHCND:USC00135837",0,"T","","0","0700"
"1995-05-01T00:00:00","PRCP","GHCND:USC00135952",0,"","","0","0700"
