"V1","V2"
-90.5852,41.6459
-90.5449,41.6965
-90.6072,41.5177
-90.5731,41.6514
-90.5055,41.555
-90.507,41.5885
-90.5871,41.6447
-90.6159,41.5845
-90.6319,41.5409
-90.591,41.5445
-90.4675,41.5432
-96.1567,43.127
-95.9939,42.9827
-96.0626,42.9678
-96.1795,43.1131
-92.3184,42.2169
-94.7264,40.6623
-94.9102,40.8006
-94.7303,40.6761
-94.3545,41.0654
-94.0312,40.9879
-91.8051,40.6308
-91.8051,40.629
-91.7434,40.6413
-91.7848,40.6328
-91.7421,40.6436
-94.2953,42.2788
-94.1504,42.5193
-94.1879,42.6426
-94.11,42.282
-94.1598,42.4951
-94.2791,42.5372
-96.4061,42.5108
-91.6443,43.3439
-91.802,43.2964
-91.9313,43.1422
-91.7029,43.2648
-93.5305,43.4196
-92.4044,40.958
-92.3866,41.0414
-92.4109,40.9972
-92.1931,40.9288
-93.5503,41.3286
-93.6137,41.502
-93.3859,41.4611
-93.6883,41.4405
-93.5729,41.3505
-93.666,41.4759
-93.7617,41.4854
-91.5411,41.3964
-91.7607,41.4581
-93.0642,43.3259
-93.1543,40.6815
-91.0234,40.8821
-91.0094,41.4255
-90.93944,41.09944
-90.5647,41.518
-93.4863,41.3372
-94.6355,41.5013
-96.5514,42.8258
-96.34333,42.83528
-92.7866,41.0655
-94.3052,43.0683
-93.3697,40.7041
-92.8022,42.7536
-96.0175,42.998
-93.7741,42.0208
-93.5655,41.9519
-91.2933,42.1117
-91.3027,42.0773
-93.5822,41.6774
-95.0041,41.4175
-95.0847,41.3061
-94.9222,41.7069
-91.275,40.7472
-90.91889,42.63222
-95.575,42.37
-94.0474,40.8069
-94.7244,40.6741
-94.7163,40.6608
-92.2764,41.8814
-90.4231,42.2611
-94.505,40.6188
-92.4394,40.7597
-93.8905,42.0416
-91.8183,41.1757
-93.8013,43.1016
-92.44,41.7394
-96.2691,42.8077
-93.3775,42.4172
-91.1165,40.7747
-92.8872,41.2038
-91.862,43.1876
-94.85,42.065
-91.0199,42.2973
-95.8363,42.0633
-92.443,42.5377
-91.5881,42.0496
-92.8899,40.7324
-91.52332,42.20011
-93.2791,41.0163
-92.6717,43.0604
-95.5377,42.7572
-95.0191,40.7244
-93.7336,42.72
-91.6583,42.9975
-90.2639,41.7947
-93.48333,40.7
-92.405,42.08
-91.525,42.2792
-93.3188,42.0169
-91.361,41.2864
-92.8855,42.2244
-94.6705,41.8747
-94.75889,40.98833
-95.795,42.4686
-93.48333,40.75
-92.0938,43.3894
-94.3936,41.0372
-94.1952,42.7255
-90.5816,41.6117
-91.7952,43.3043
-95.3288,42.0363
-93.6416,41.5825
-93.6575,41.5394
-93.6199,41.6122
-93.6055,41.5783
-93.7236,41.7366
-90.5405,41.8108
-90.5404,41.7663
-91.564,40.6458
-91.5109,43.4705
-90.7325,42.4087
-90.6461,42.5399
-92.9763,42.7544
-90.83583,42.57
-93.0971,42.3652
-91.4537,42.7754
-92.4433,43.2419
-94.6833,43.1025
-94.7472,43.4036
-95.383,43.1833
-92.0291,42.6404
-91.9553,41.021
-91.8158,42.8504
-93.6305,43.2844
-94.2005,42.5836
-91.334,40.6222
-90.7063,42.1575
-95.4183,42.5027
-92.6755,42.09
-92.7786,41.878
-95.7491,41.0516
-95.7736,41.0097
-94.4561,41.298
-92.749,41.72
-92.7594,42.3647
-94.4972,41.6686
-91.0958,42.7858
-93.202,42.756
-95.37139,41.39
-95.2522,41.3277
-94.1459,42.2685
-95.3339,41.6452
-95.48,41.0772
-92.95,41.95
-96.485,43.003
-96.0961,42.2802
-95.5488,42.4897
-93.28961,42.30363
-92.4633,42.4075
-94.2202,42.7197
-94.26889,42.71806
-95.515,42.3941
-91.878,42.527
-93.64806,41.36639
-92.5018,43.0336
-91.5051,41.6093
-93.2536,42.5188
-96.3038,42.5763
-94.4113,42.0347
-93.6388,42.3008
-93.7933,42.9311
-95.9955,42.0727
-91.3749,40.3968
-91.9696,40.7356
-92.9083,42.6611
-92.8891,42.7038
-93.1008,41.3247
-92.1845,41.7565
-93.5347,43.4177
-95.3247,43.4483
-93.9343,40.6233
-91.21611,43.36333
-91.1616,43.3197
-90.4005,41.5747
-96.1458,42.7816
-93.6452,40.7244
-96.0505,41.8263
-95.7883,41.638
-94.0513,41.1247
-90.9222,41.86044
-91.4583,42.4823
-91.4516,42.4732
-95.7836,42.162
-95.80972,42.15694
-90.7488,42.0494
-92.87056,42.96556
-92.0707,41.7967
-92.9244,42.0647
-92.908,42.0655
-93.1952,43.163
-93.198,43.1533
-94.765,41.2552
-96.2402,42.7213
-95.1841,43.3827
-95.76833,41.17694
-92.5497,41.5836
-91.1732,42.2411
-94.2427,40.7052
-91.5647,40.9486
-91.0727,41.4076
-91.0463,41.4713
-92.57006,42.93618
-92.3123,43.0452
-93.0297,41.7116
-92.0597,41.517
-93.2252,43.4386
-95.3844,41.3044
-91.68,40.92694
-95.5313,43.4144
-91.8751,42.6801
-91.9131,42.6467
-96.1258,42.0697
-96.05389,43.00056
-92.8106,43.2794
-93.7502,41.0194
-92.6466,41.3213
-92.5174,41.0101
-92.8049,42.5772
-95.6897,42.9841
-92.9202,41.3761
-94.1105,41.8394
-95.3369,42.9183
-94.6613,42.7291
-93.4363,42.5863
-91.5581,43.09
-95.6291,43.0863
-93.1408,40.7936
-95.5666,40.8744
-92.8925,40.825
-94.1401,41.5687
-95.2419,41.0036
-92.98,41.36972
-95.975,42.81028
-93.1358,41.9172
-94.5116,43.2947
-96.1686,43.43
-96.3061,43.2044
-94.6291,42.3969
-94.9761,42.4194
-92.9232,43.3817
-91.6221,40.8355
-95.6602,43.1791
-95.85321,43.18036
-92.59056,42.70417
-95.38,40.7672
-95.7483,43.4047
-95.643,40.736
-92.2044,41.3363
-96.1525,43.0558
-96.3777,42.3963
-96.4108,42.5355
-95.0652,42.893
-95.1466,43.1652
-95.1444,43.1369
-95.1394,43.423
-91.8632,42.6333
-93.073,42.4081
-95.1933,42.6469
-91.533,42.6853
-94.383,43.4022
-91.6765,41.8497
-91.1269,41.7797
-94.0416,43.2352
-92.58046,42.03543
-92.4727,42.1869
-92.2574,42.8125
-95.9916,41.9644
-95.6811,41.3894
-93.9502,41.5338
-94.97944,40.93417
-92.0077,42.1702
-91.8024,41.8624
-91.1898,41.1805
-91.7078,41.2824
-95.718,42.5737
-92.33194,42.50056
-92.34116,42.46509
-92.0489,43.0603
-91.4711,43.2741
-91.55496,43.24025
-93.7974,42.4685
-93.8061,42.4322
